Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,IL-6/JAK/STAT3 Signaling,0.5689613059160754,1.157276751590931,0.21980413492927095,0.4138809958013487,1.0,37/85,15.08%,STAT1;STAT2;IRF1;ITGA4;IRF9;A2M;IL2RG;CD14;IL15RA;TGFB1;CCR1;TNFRSF1B;PIM1;FAS;PTPN11;IL18R1;CD38;MAP3K8;LTB;TNFRSF1A;STAT3;TYK2;IL3RA;LTBR;HMOX1;IFNAR1;CBL;IL12RB1;CSF2RB;PIK3R5;MYD88;SOCS1;JUN;SOCS3;IL4R;HAX1;CSF1
prerank,p53 Pathway,0.5394483702051448,1.156746215580208,0.15061475409836064,0.39579811737239956,1.0,54/195,12.30%,RPS12;RPL36;S100A4;RPL18;CTSD;RACK1;TXNIP;CD81;PRMT2;IFI30;TGFB1;TAP1;CASP1;STOM;CYFIP2;MKNK2;VAMP8;CCND3;LDHB;MXD4;PITPNC1;F2R;S100A10;CD82;FAS;RHBDF2;SLC35D1;DNTTIP2;KIF13B;ERCC5;CCND2;BAX;SEC61A1;RALGDS;HINT1;ZMAT3;GM2A;DDB2;IER5;PLXNB2;ADA;DEF6;CCNG1;TOB1;TRAFD1;HMOX1;RAP2B;TM7SF3;RAB40C;RCHY1;PRKAB1;ANKRA2;ATF3;IP6K2
prerank,Hypoxia,-0.38867357558464,-1.1472986502995774,0.15,0.1562280084447572,0.3689727463312369,37/193,5.03%,IRS2;MAP3K1;KLF7;PRKCA;FOXO3;TNFAIP3;SDC2;EXT1;MXI1;PLAUR;TES;WSB1;FOS;HK2;NFIL3;KLHL24;CXCR4;PDK1;FAM162A;DUSP1;NDRG1;NOCT;PFKFB3;PGK1;SAP30;SLC6A6;NDST1;BNIP3L;NR3C1;JMJD6;GBE1;DTNA;FBP1;ILVBL;P4HA1;SLC2A3;SCARB1
prerank,Adipogenesis,0.5301712131687931,1.1446637112926246,0.18200408997955012,0.4189089675327429,1.0,82/198,16.84%,UBC;UQCR11;DHRS7;STOM;NMT1;UCP2;TALDO1;DECR1;UQCRC1;PDCD4;PTCD3;TANK;COX8A;ATP5PO;ADIPOR2;CMPK1;REEP5;BAZ2A;SOD1;ETFB;SQOR;PIM3;UQCRQ;COX7B;HIBCH;SDHC;ACLY;ELOVL6;NDUFB7;ESYT1;CAT;ARAF;UQCR10;COX6A1;BCKDHA;MDH2;PGM1;CHCHD10;CS;DDT;MCCC1;SCP2;GPX4;DNAJC15;ECHS1;ECH1;ACAA2;NDUFS3;MTCH2;BCL2L13;PLIN2;TOB1;AIFM1;IDH1;PFKL;SULT1A1;STAT5A;ME1;DGAT1;ATP1B3;SAMM50;TKT;DBT;DLAT;ACO2;GHITM;ESRRA;ACADM;JAGN1;GRPEL1;VEGFB;RMDN3;RREB1;TST;PRDX3;YWHAG;SLC66A3;PEMT;PHYH;COQ9;NDUFAB1;CYC1
prerank,UV Response Up,0.5060853064198355,1.0793754239217734,0.3088082901554404,0.6488400695534162,1.0,50/155,15.26%,IRF1;TMBIM6;HLA-F;RASGRP1;TAP1;AP2S1;JUNB;CCND3;TGFBRAP1;MGAT1;GCH1;DNAJA1;SELENOW;ARRB2;BSG;PRPF3;RAB27A;NFKBIA;POLG2;GLS;SQSTM1;ABCB1;ATP6V1F;CASP3;CLTB;YKT6;ATP6V1C1;GRINA;STARD3;ACAA1;PDAP1;DNAJB1;HMOX1;SULT1A1;RPN1;NXF1;CYB5R1;DGAT1;DLG4;ATF3;BID;UROD;AMD1;SOD2;GRPEL1;FURIN;FKBP4;TST;CDC34;KLHDC3
prerank,Apical Junction,0.49823916351808534,1.0738284819990278,0.3105209397344229,0.644362214965294,1.0,52/195,15.05%,ACTB;PFN1;ACTG1;GNAI2;MSN;CD99;FYB1;MYL12B;CAP1;ACTN4;RAC2;ARPC2;PTPRC;DLG1;EVL;CNN2;TIAL1;VASP;AKT2;MYH9;GTF2F1;CDK8;ARHGEF6;PLCG1;SGCE;ZYX;NF2;NF1;PIK3R3;ICAM2;ADAM15;INPPL1;AKT3;ITGB1;TGFBI;RHOF;TAOK2;NEXN;LIMA1;CD86;RSU1;MVD;NECTIN2;YWHAH;DHX16;IKBKG;CTNNA1;PBX2;INSIG1;EPB41L2;MYH10;NECTIN3
prerank,Myc Targets V2,0.516987193921344,1.0386253153726384,0.4292237442922374,0.7628364222401289,1.0,30/58,20.38%,PA2G4;DUSP2;TCOF1;CBX3;NOP56;PHB;TFB2M;MPHOSPH10;DDX18;RCL1;FARSA;NPM1;HSPE1;GRWD1;NOP2;PPAN;NIP7;PUS1;MYC;IMP4;MYBBP1A;GNL3;NDUFAF4;PRMT3;LAS1L;RRP9;TBRG4;WDR74;UNG;DCTPP1
prerank,Epithelial Mesenchymal Transition,0.4788519616426114,1.0291558875945193,0.40960163432073543,0.7721391590300366,1.0,23/192,9.44%,FLNA;IL32;TGFBR3;EMP3;ID2;PPIB;TGFB1;LGALS1;SGCD;FAS;COPA;IL15;WIPF1;GADD45B;COLGALT1;TIMP1;COL6A2;ITGB1;CALU;TGFBI;THBS1;CADM1;LRP1
prerank,Pancreas Beta Cells,0.5583812290703851,1.0209663076175068,0.47684605757196497,0.774394352790383,1.0,6/30,12.11%,SEC11A;SRP14;SPCS1;AKT3;DPP4;SRPRB
prerank,Bile Acid Metabolism,0.48304369784827833,1.0182454944513961,0.46284501061571126,0.7572931119095078,1.0,38/109,19.22%,NPC1;OPTN;ACSL5;LCK;IDH2;SOD1;GSTK1;GCLM;CROT;CAT;ABCD2;MLYCD;PEX26;ABCA5;SCP2;ABCA3;PEX16;ABCA2;PEX13;IDH1;SLC23A2;ABCD3;ATXN1;SLC35B2;GNPAT;PAOX;PEX6;PHYH;HACL1;AMACR;ALDH8A1;SLC27A5;SLC22A18;FADS2;PRDX5;BCAR3;HSD17B11;EFHC1
prerank,IL-2/STAT5 Signaling,0.46121116076725976,0.9879228692441528,0.5457317073170732,0.8379066118155987,1.0,73/199,14.77%,GBP4;RORA;RABGAP1L;CST7;CD81;TNFSF10;PLSCR1;CD48;MAPKAPK2;IL10RA;PRKCH;CDC42SE2;EOMES;HUWE1;CCND3;IL2RB;GALM;IFITM3;RHOH;FGL2;TNFRSF1B;PIM1;LRIG1;ANXA4;CKAP4;BHLHE40;IL18R1;CCND2;IGF2R;SLC39A8;MAP3K8;BCL2L1;TTC39B;ABCB1;GADD45B;RNH1;LTB;PHTF2;GPX4;GPR65;CTSZ;BMPR2;SYNGR2;PTCH1;XBP1;PTGER2;SYT11;CASP3;SELL;PLAGL1;PTRH2;POU2F1;PLIN2;IL3RA;HOPX;PRNP;DHRS3;NCOA3;BATF;CISH;CD86;SNX14;CD79B;DCPS;SOCS1;LCLAT1;P2RX4;SOCS2;FLT3LG;NOP2;FURIN;TLR7;IL4R
prerank,Apical Surface,0.5075200719250605,0.9776240372434957,0.5313953488372093,0.8447347215742822,1.0,14/43,14.37%,IL2RG;CROCC;IL2RB;FLOT2;ADIPOR2;GATA3;NCOA6;ADAM10;CD160;EFNA5;HSPB1;ATP8B1;AKAP7;MDGA1
prerank,G2-M Checkpoint,0.4537484330372368,0.9756479896166271,0.5736354273944387,0.8238728009751706,1.0,65/195,13.60%,CUL1;SMAD3;CTCF;HSPA8;TGFB1;G3BP1;KPNB1;CDC25B;ATRX;MT2A;MARCKS;NCL;HMGN2;NUMA1;SRSF2;PRPF4B;BUB3;TENT4A;PML;WRN;DKC1;RBL1;E2F4;CCNT1;LBR;SS18;KIF5B;LMNB1;PURA;HIRA;BARD1;GSPT1;DR1;RPA2;SMC1A;EFNA5;CDC7;DDX39A;ILF3;JPT1;MCM6;SMC4;SLC38A1;CHAF1A;BRCA2;UPF1;SNRPD1;CASP8AP2;SRSF10;ABL1;ODF2;FBXO5;SLC7A5;SRSF1;POLA2;FOXN3;NUP50;HMGA1;SLC12A2;ORC5;ATF5;ARID4A;AMD1;CDC27;NDC80
prerank,Estrogen Response Late,0.4439288791608369,0.9528943734843659,0.620162932790224,0.8701877200050894,1.0,37/193,12.61%,DNAJC1;ATP2B4;SLC9A3R1;ID2;S100A9;ISG20;PTPN6;DUSP2;PDCD4;ZFP36;LLGL2;RABEP1;IDH2;SERPINA1;ETFB;JAK1;AFF1;PRSS23;BAG1;ELOVL5;COX6C;NXT1;PLAAT3;ADD3;DLG5;XBP1;ABCA3;MICB;CACNA2D2;JAK2;TOB1;ALDH3A2;BATF;CISH;CLIC3;SLC7A5;SLC26A2
prerank,Xenobiotic Metabolism,0.43243385626908565,0.9383771562771311,0.6461538461538462,0.8865310297941029,1.0,36/188,13.93%,NPC1;LPIN2;ID2;TMBIM6;PSMB10;DHRS7;CYFIP2;NMT1;MT2A;GCH1;CNDP2;FAS;SLC35D1;GSR;ELOVL5;CROT;PTGES3;CAT;ABCD2;TMEM176B;DDT;TNFRSF1A;ACP1;ECH1;SLC35B1;MAN1A1;CBR1;HMOX1;IDH1;MTHFD1;SHMT2;ABHD6;ACO2;BCAT1;ACP2;SLC46A3
prerank,Myogenesis,0.4362276760351649,0.9375050512773967,0.6683725690890481,0.8627804402222318,1.0,31/191,12.05%,LSP1;TGFB1;CFD;TPM3;ATP6AP1;SGCD;BIN1;AKT2;MYH9;NCAM1;EIF4A2;BHLHE40;FLII;GNAO1;BAG1;LPIN1;GAA;FDPS;ADCY9;MEF2D;GADD45B;COL6A2;SYNGR2;ITGB1;TSC2;PLXNB2;OCEL1;PRNP;DAPK2;SH2B1;SIRT2
prerank,Androgen Response,0.44489952030966745,0.9177522775551205,0.6706263498920086,0.8907199505613347,1.0,21/99,8.49%,B2M;MYL12A;STK39;MAF;TMEM50A;PA2G4;TPD52;CDK6;LMAN1;CCND3;IQGAP2;APPBP2;GSR;ELOVL5;UBE2I;XRCC6;DBI;SRP19;SMS;ELK4;RAB4A
prerank,heme Metabolism,0.4222460622737954,0.9101391052804875,0.7134020618556701,0.8863536762938773,1.0,80/192,19.41%,KAT2B;LPIN2;OPTN;TFDP2;LRP10;UCP2;FBXO7;CCND3;LAMP2;CAST;ADD1;NNT;HAGH;TSPAN5;ARL2BP;GYPC;ARHGEF12;CLCN3;RNF19A;BSG;TENT5C;RBM5;GCLM;SLC2A1;PRDX2;MAP2K3;HDGF;RAD23A;CDR2;CAT;TMEM9B;TCEA1;NARF;DCAF10;DCAF11;PGLS;ENDOD1;MFHAS1;EZH1;RCL1;GMPS;BLVRA;GLRX5;ISCA1;KHNYN;NCOA4;CTSB;UROS;NEK7;RANBP10;UROD;FBXO9;ACP5;CDC27;HTATIP2;KLF3;FOXJ2;ACSL6;NFE2L1;SNCA;EIF2AK1;BTRC;EPB41;BPGM;ABCB6;ALAD;CPOX;TNRC6B;ADIPOR1;LMO2;MOSPD1;SIDT2;OSBP2;TFRC;DCUN1D1;TNS1;SLC22A4;GAPVD1;CTNS;SLC25A38
prerank,KRAS Signaling Up,0.42408937657876167,0.9070448845477794,0.7147239263803681,0.8692790080041448,1.0,29/192,7.37%,ITGB2;CCSER2;RABGAP1L;ID2;LAPTM5;IL2RG;CD37;ETS1;LCP1;STRN;IL10RA;PSMB8;PRDM1;TNFRSF1B;IL7R;GYPC;AKT2;WDR33;ADAM8;CCND2;ST6GAL1;CROT;ZNF277;MAP4K1;KIF5C;ABCB1;TMEM176A;FCER1G;TMEM176B
prerank,Coagulation,0.4266161656858282,0.8974502581604876,0.7089005235602094,0.867118600181696,1.0,24/131,17.46%,CAPN2;A2M;PLEK;CFD;LAMP2;GNB2;SERPINA1;PRSS23;ANXA1;TIMP1;DPP4;USP11;CTSH;THBS1;LRP1;CTSB;SIRT2;CFH;FURIN;GSN;PREP;RAC1;SERPING1;SH2B2
