group,names,scores,logfoldchanges,pvals,pvals_adj
0,AC073332.1,1.4117223,,0.15803173066378617,0.40068897227126316
0,ERG,1.3988193,,0.16186718375471731,0.40958295484493246
0,NR5A2,1.3653041,,0.17215747540624704,0.4338646053584855
0,AZIN1-AS1,1.3410122,,0.17991647471740546,0.45205144401358155
0,AFG1L,1.2830689,,0.19946795472039291,0.4976745377255312
0,DPP10,1.2133986,,0.22497745204393982,0.5563240653905535
0,CD109,1.2065972,,0.22758731800588827,0.5611127169770421
0,LINC00470,1.1944158,,0.23231537407981862,0.5722053548764005
0,AC007879.3,1.1924464,,0.23308627923329317,0.5729751210257944
0,SLC24A3,1.171138,,0.24154328232642974,0.5908593011898966
0,PRELID2,1.1559482,,0.2477023507669297,0.6018035732918603
0,AC090579.1,1.1422241,,0.25336089990537336,0.6137618699258076
0,GUCY2C,1.0727209,,0.2833963570656498,0.6772559895315836
0,SCN9A,1.0721898,,0.2836348084158272,0.6772559895315836
0,AL513166.1,1.067363,,0.28580795883375876,0.6817937949278596
0,CCDC30,1.0585327,,0.2898126494965151,0.6893735715901881
0,TSHR,1.0516704,,0.292950780147176,0.6961758083345437
0,LRG1,1.0429559,,0.2969687071980398,0.703050916662026
0,MID1,1.0380758,,0.29923476472790234,0.7077454227244615
0,CYSLTR1,1.0270015,,0.3044197376505372,0.7175118424725189
0,FMNL2,0.9675788,,0.3332547417674585,0.7728542248781505
0,LINC01762,0.9390903,,0.3476843744888374,0.7989071104982477
0,MRC1,0.93060917,,0.3520557765783139,0.807467377473197
0,MSRB3,0.92825466,,0.35327548801633957,0.8095221998541237
0,CATSPERE,0.9174299,,0.35891740691995366,0.821697360164729
0,MGAM,0.8970437,,0.36969558778372125,0.8432837312584882
0,ANKRD22,0.894149,,0.37124218300599987,0.8460396148723789
0,HBB,0.8805249,,0.37857504450754964,0.8603978284262492
0,AREG,0.867486,,0.38567576652597224,0.8726614853866751
0,AC073529.1,0.8047627,,0.42095662129362965,0.9421589554467987
0,TNFAIP6,0.78102016,,0.4347906455460461,0.9661693103247126
0,NKAIN2,0.77778196,,0.4366975681197174,0.967858085371714
0,PPBP,0.70229435,1.3574055,0.48249560119021084,0.9999372934414194
0,ADD3-AS1,0.69677883,,0.48594119761702614,0.9999372934414194
0,LINC02798,0.6618085,,0.5080939679022307,0.9999372934414194
0,LINC01088,0.6287065,,0.5295412127316564,0.9999372934414194
0,AC092131.1,0.62153536,,0.5342474520960456,0.9999372934414194
0,TAPT1-AS1,0.5991341,,0.5490834849513069,0.9999372934414194
