group,names,scores,logfoldchanges,pvals,pvals_adj
11,GAS7,41.98683,,0.0,0.0
11,PID1,41.230682,,0.0,0.0
12,ATP2B1,85.21768,,0.0,0.0
12,NAMPT,85.13565,,0.0,0.0
12,ACSL1,76.82386,,0.0,0.0
12,JARID2,74.19579,,0.0,0.0
12,GAB2,71.976234,,0.0,0.0
12,RBM47,71.74026,,0.0,0.0
12,SLC8A1,70.54882,,0.0,0.0
12,TLR2,70.37379,,0.0,0.0
12,CLEC7A,67.52871,,0.0,0.0
12,DMXL2,67.28705,,0.0,0.0
12,GAS7,64.05499,,0.0,0.0
12,LRMDA,63.61222,,0.0,0.0
12,RASGEF1B,63.317696,,0.0,0.0
12,AHR,63.10799,,0.0,0.0
12,ADGRE2,59.91462,,0.0,0.0
12,CSF3R,59.646343,,0.0,0.0
12,PLAUR,59.221188,,0.0,0.0
12,SGK1,58.19268,,0.0,0.0
12,MCTP1,58.05051,,0.0,0.0
12,ADAMTSL4-AS1,57.098473,,0.0,0.0
13,THEMIS,70.43289,,0.0,0.0
13,SAMD3,63.172955,,0.0,0.0
13,RORA,54.271378,,0.0,0.0
13,TGFBR3,54.145466,,0.0,0.0
13,PYHIN1,51.330894,,0.0,0.0
13,MYBL1,49.46738,,0.0,0.0
13,GRAP2,49.34503,,0.0,0.0
13,CCL5,48.921825,,0.0,0.0
13,NCALD,48.4077,,0.0,0.0
13,PPP2R2B,44.69208,,0.0,0.0
13,LINC01934,42.098106,,0.0,0.0
13,SCML4,40.668102,,0.0,0.0
13,CDC14A,39.151283,,0.0,0.0
13,KLRK1,38.000328,,0.0,0.0
13,TOX,36.820515,,8.671586815856242e-297,1.03233176379241e-294
13,C1orf21,36.541393,,2.4426494034211397e-292,2.775737958433113e-290
13,GLCCI1,35.114323,,4.075511955281832e-270,4.2453249534185754e-268
13,CD8A,33.6295,,6.217601054325975e-248,5.181334211938313e-246
13,PCED1B,32.554005,,1.837684215316786e-232,1.3921850116036258e-230
13,SYTL2,32.019833,,5.775622908620903e-225,4.125444934729216e-223
14,MTRNR2L8,86.59945,,0.0,0.0
14,AC105402.3,83.002,,0.0,0.0
14,LYZ,81.63788,,0.0,0.0
14,NAMPT,71.09251,,0.0,0.0
14,ATP2B1,66.16299,,0.0,0.0
14,ACSL1,64.027596,,0.0,0.0
14,CLEC7A,63.285854,,0.0,0.0
14,MEF2C,63.167942,,0.0,0.0
14,CSF3R,62.308834,,0.0,0.0
14,SAT1,61.153423,,0.0,0.0
14,IRAK3,60.468044,,0.0,0.0
14,SAMSN1,56.632183,,0.0,0.0
14,LRMDA,56.393635,,0.0,0.0
14,AHR,56.356445,,0.0,0.0
14,KYNU,56.06178,,0.0,0.0
14,CD86,55.73686,,0.0,0.0
14,RBM47,55.445847,,0.0,0.0
14,TLR2,54.93066,,0.0,0.0
14,GAB2,53.94955,,0.0,0.0
14,JARID2,53.584965,,0.0,0.0
15,CCL5,69.05425,,0.0,0.0
15,IKZF2,58.890804,,0.0,0.0
15,NKG7,57.30947,,0.0,0.0
15,GNLY,55.81165,,0.0,0.0
15,SGCD,55.34982,,0.0,0.0
15,A2M,48.42866,,0.0,0.0
15,C1orf21,47.62702,,0.0,0.0
15,TGFBR3,47.493523,,0.0,0.0
15,GZMH,46.136326,,0.0,0.0
15,NCALD,44.742905,,0.0,0.0
15,IL32,44.061806,,0.0,0.0
15,PPP2R2B,43.073055,,0.0,0.0
15,TOX,42.72787,,0.0,0.0
15,PZP,41.94995,,0.0,0.0
15,SYTL3,41.78586,,0.0,0.0
15,PYHIN1,41.314564,,0.0,0.0
15,AC093865.1,41.222755,,0.0,0.0
15,CTSW,40.76171,,0.0,0.0
15,KLRK1,39.931644,,0.0,0.0
15,MYBL1,39.603924,,0.0,0.0
16,NELL2,70.787254,,0.0,0.0
16,LEF1,62.130146,,0.0,0.0
