gene,score,logfoldchange,pval,pval_adj,pct_nz_group,subtype
RPL4,4.8771634,0.22555883,1.0762227779664069e-06,0.00021950916535793668,0.5210384959713519,Naive/resting T cell
CFL1,4.876617,0.22206868,1.0792063721003956e-06,0.00021950916535793668,0.5423008057296329,Naive/resting T cell
OAS3,4.8704243,1.3625048,1.1135891268234316e-06,0.0002250317767970467,0.10116383169203223,Naive/resting T cell
RICTOR,4.851726,0.15905783,1.2239168889173603e-06,0.0002457309263426339,0.7799910474485229,Naive/resting T cell
ITGB2,4.8243346,0.18584858,1.4047153314522257e-06,0.0002766755766759067,0.6747985675917636,Naive/resting T cell
RPL3,4.8161197,0.18402833,1.463766579719446e-06,0.00028470259975543223,0.6519695613249776,Naive/resting T cell
NACA,4.782966,0.2390305,1.7272723861137412e-06,0.00033180689293740514,0.49127126230975826,Naive/resting T cell
HLA-DPA1,4.750351,0.3214206,2.0306407948718434e-06,0.0003876904388736918,0.39391226499552373,Naive/resting T cell
MYL6,4.745757,0.24930364,2.0772800537368335e-06,0.00039273045866879044,0.452775290957923,Naive/resting T cell
RPS15,4.7426147,0.21577086,2.109773359447378e-06,0.00039424358473735404,0.5816920322291853,Naive/resting T cell
CTSS,4.7420526,0.08686504,2.1156387741368292e-06,0.00039424358473735404,0.9867949865711728,Naive/resting T cell
S100A4,4.7391453,0.19245203,2.1462148867886413e-06,0.0003975607576003721,0.6683079677708147,Naive/resting T cell
FGL2,4.7035713,0.16402255,2.5564992209200185e-06,0.0004679897397354763,0.7251566696508505,Naive/resting T cell
SAMD9L,4.6731014,0.65629256,2.9668546908085223e-06,0.0005341575314520032,0.17479856759176365,Naive/resting T cell
UBA52,4.6729217,0.2325505,2.96944900196647e-06,0.0005341575314520032,0.5158907788719785,Naive/resting T cell
RPL36A,4.648509,0.21319507,3.343428559102037e-06,0.0005911789588594056,0.5290957923008057,Naive/resting T cell
RPL8,4.6287303,0.19625981,3.67914808528945e-06,0.0006468649062949587,0.5946732318710832,Naive/resting T cell
AP001011.1,4.607153,0.23107481,4.082201268818991e-06,0.000698011557613445,0.5051477170993733,Naive/resting T cell
RPS17,4.6046805,0.2332925,4.130998209406229e-06,0.0006986775232430536,0.4964189794091316,Naive/resting T cell
ATP6V0C,4.588606,0.28446686,4.4621572904267675e-06,0.0007465716928929086,0.38025962399283797,Naive/resting T cell
RPL27,4.5700154,0.3104677,4.876884475479295e-06,0.0008115970314273564,0.34758281110116385,Naive/resting T cell
UBC,4.5606203,0.21841209,5.100271678081253e-06,0.0008397907651951778,0.5029095792300806,Naive/resting T cell
IFI16,4.55284,0.28310925,5.292643109819181e-06,0.000866879229355647,0.40778871978513875,Naive/resting T cell
MPEG1,4.544965,0.18724626,5.494446549209298e-06,0.0008952208199549391,0.5868397493285586,Naive/resting T cell
RPL22,4.5346527,0.21891509,5.769839803504169e-06,0.0009351948681513007,0.5,Naive/resting T cell
RPL7,4.4838014,0.21706547,7.332489168864158e-06,0.0011701900663336029,0.5091763652641003,Naive/resting T cell
PFDN5,4.433054,0.23134449,9.290755034053458e-06,0.0014676563282220488,0.4554610564010743,Naive/resting T cell
SLC8A1-AS1,4.4307094,0.31635463,9.392362826307926e-06,0.001471403151739868,0.37153088630259623,Naive/resting T cell
GAPDH,4.429246,0.20659311,9.456318455911749e-06,0.001471403151739868,0.5340196956132498,Naive/resting T cell
RPS8,4.4241776,0.18181261,9.681041300404976e-06,0.0014914554716267468,0.6298119964189794,Naive/resting T cell
RPS25,4.357168,0.21546403,1.3175596284928208e-05,0.0019904104678978925,0.5080572963294538,Naive/resting T cell
TALDO1,4.3481402,0.25851277,1.372968604842614e-05,0.0020640957962658043,0.4093554162936437,Naive/resting T cell
MT-CO1,4.343638,0.05058319,1.401423444063097e-05,0.002096745075925172,0.9993285586392122,Naive/resting T cell
RPL30,4.3039646,0.19709928,1.6776856287323074e-05,0.0024396998488854862,0.5669203222918532,Naive/resting T cell
RPS20,4.2768483,0.20409659,1.89557979417604e-05,0.002731039036794369,0.4923903312444047,Naive/resting T cell
RPS4X,4.2514625,0.24373877,2.1237904389462124e-05,0.0030317595623856023,0.43912264995523725,Naive/resting T cell
TAPBP,4.242203,0.21587795,2.213362380431225e-05,0.0031451980492703075,0.4670993733213966,Naive/resting T cell
RACK1,4.2026215,0.23816052,2.6384181386762967e-05,0.003698539300702989,0.4422560429722471,Naive/resting T cell
GBP5,4.1676893,0.59255356,3.077032409742645e-05,0.004294047022026508,0.16674127126230975,Naive/resting T cell
RPL24,4.1575365,0.23544566,3.2169800059763214e-05,0.004469304365445675,0.42591763652641,Naive/resting T cell
RPL35,4.1461315,0.21447282,3.3813949934336205e-05,0.004656150982108596,0.4724709042076992,Naive/resting T cell
RPSA,4.1448154,0.22962107,3.4008715114283155e-05,0.004662340151350184,0.41897940913160253,Naive/resting T cell
RPL15,4.091237,0.209136,4.290782780115836e-05,0.005780483121956918,0.49485228290062666,Naive/resting T cell
TOMM7,4.073153,0.32792777,4.638096200404515e-05,0.006194744796420107,0.28692927484333036,Naive/resting T cell
IRF9,4.067997,0.40613097,4.741903840627077e-05,0.006279491383843177,0.22023276633840644,Naive/resting T cell
RPL32,4.051364,0.20526429,5.0919897259075434e-05,0.006631708724964214,0.473142345568487,Naive/resting T cell
SERPINA1,4.0513124,0.18516397,5.093118204583699e-05,0.006631708724964214,0.5329006266786034,Naive/resting T cell
SH3BGRL3,4.024547,0.22333609,5.7085124043287794e-05,0.007310654568835869,0.44180841539838855,Naive/resting T cell
FCN1,4.0175166,0.098107,5.8814700904907806e-05,0.007501284803937422,0.9397940913160251,Naive/resting T cell
IFIT3,4.0156384,4.080594,5.928510388792883e-05,0.007530418093846307,0.05259623992837959,Naive/resting T cell
RNASEK,4.0083885,0.20251097,6.113442827159613e-05,0.007671384708919643,0.4798567591763653,Naive/resting T cell
EEF1D,4.006044,0.21285214,6.174415789524783e-05,0.007710200591377553,0.45053715308863024,Naive/resting T cell
NCF1,3.9654174,0.19195437,7.32676322574068e-05,0.008906596546291015,0.5226051924798567,Naive/resting T cell
GABARAP,3.9240212,0.19162454,8.708309293711962e-05,0.010271031349315883,0.4905998209489705,Naive/resting T cell
HLA-DPB1,3.9217641,0.23449494,8.790303248021619e-05,0.010322801399186144,0.44807520143240825,Naive/resting T cell
RPL19,3.892036,0.16682367,9.940655306650026e-05,0.01150011870419884,0.5998209489704566,Naive/resting T cell
TENT5A,3.8870075,0.19475049,0.00010148767570647114,0.01165423050917115,0.5785586392121754,Naive/resting T cell
GSTP1,3.875802,0.3408599,0.00010627410033089183,0.01215900736138733,0.2741718889883617,Naive/resting T cell
EIF1,3.861462,0.12610742,0.00011271044894430797,0.012754724258715868,0.7846911369740376,Naive/resting T cell
PSME2,3.81103,0.44330835,0.00013838904880353827,0.01532621778920324,0.20478961504028648,Naive/resting T cell
TNFSF10,3.8027594,0.26386288,0.00014309332034022945,0.01566559423105888,0.3549686660698299,Naive/resting T cell
CTSD,3.8005981,0.16591184,0.00014434728404399188,0.015706599578493102,0.5671441360787824,Naive/resting T cell
ADAR,3.7898831,0.1800456,0.00015071818299036693,0.016220418946278098,0.5107430617726052,Naive/resting T cell
CD68,3.7891653,0.22240555,0.00015115428966647329,0.016220418946278098,0.40376007162041183,Naive/resting T cell
ACTG1,3.7767835,0.16671179,0.00015886667565679868,0.01698945342419098,0.5393912264995524,Naive/resting T cell
RPL5,3.7735536,0.1800257,0.0001609386722501138,0.017152094111039524,0.4995523724261415,Naive/resting T cell
CCR1,3.7689557,0.33090892,0.00016393196755166682,0.01741147723620434,0.25828111011638316,Naive/resting T cell
AIF1,3.7615983,0.1924053,0.00016883096214861766,0.017750066020489803,0.4572515666965085,Naive/resting T cell
